SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Lasers,14.0803,Structural Engineering,Associate's degree,2,1,1,2,2,1,0,0,0
Lasers,14.0803,Structural Engineering,Bachelor's degree,207,157,50,182,182,43,25,18,7
Lasers,14.0803,Structural Engineering,Master's degree,223,161,62,127,127,33,96,67,29
Lasers,14.0803,Structural Engineering,Doctor's degree – research/scholarship,20,15,5,2,2,1,18,14,4
Lasers,14.0803,Structural Engineering,Postbaccalaureate certificate,5,4,1,4,4,1,1,1,0
Lasers,14.1001,Electrical and Electronics Engineering,All award levels (total),32098,26551,5547,18075,18075,2300,14023,10776,3247
Lasers,14.1001,Electrical and Electronics Engineering,Postsecondary certificate < 60 semester credit hours,6,6,0,6,6,0,0,0,0
Lasers,14.1001,Electrical and Electronics Engineering,Associate's degree,262,243,19,245,245,14,17,12,5
Lasers,14.1001,Electrical and Electronics Engineering,Bachelor's degree,15973,13905,2068,13786,13786,1690,2187,1809,378
Lasers,14.1001,Electrical and Electronics Engineering,Master's degree,13443,10367,3076,3276,3276,495,10167,7586,2581
Lasers,14.1001,Electrical and Electronics Engineering,Doctor's degree – research/scholarship,2225,1870,355,701,701,97,1524,1266,258
Lasers,14.1001,Electrical and Electronics Engineering,Doctor's degree – other,1,1,0,0,0,0,1,1,0
Lasers,14.1001,Electrical and Electronics Engineering,Postbaccalaureate certificate,145,122,23,50,50,3,95,75,20
Lasers,14.1001,Electrical and Electronics Engineering,Post-master's certificate,43,37,6,11,11,1,32,27,5
Lasers,14.1003,Laser and Optical Engineering,All award levels (total),96,69,27,49,49,8,47,28,19
Lasers,14.1003,Laser and Optical Engineering,Bachelor's degree,37,29,8,30,30,5,7,4,3
Lasers,14.1003,Laser and Optical Engineering,Master's degree,40,24,16,11,11,3,29,16,13
Lasers,14.1003,Laser and Optical Engineering,Doctor's degree – research/scholarship,19,16,3,8,8,0,11,8,3
Lasers,14.1004,Telecommunications Engineering,All award levels (total),285,214,71,77,77,11,208,148,60
Lasers,14.1004,Telecommunications Engineering,Postsecondary certificate < 60 semester credit hours,28,25,3,28,28,3,0,0,0
Lasers,14.1004,Telecommunications Engineering,Associate's degree,23,19,4,23,23,4,0,0,0
Lasers,14.1004,Telecommunications Engineering,Bachelor's degree,8,5,3,4,4,1,4,2,2
Lasers,14.1004,Telecommunications Engineering,Master's degree,222,162,60,21,21,2,201,143,58
Lasers,14.1004,Telecommunications Engineering,Doctor's degree – research/scholarship,4,3,1,1,1,1,3,3,0
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",All award levels (total),6146,5632,514,5911,5911,490,235,211,24
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Postsecondary certificate < 60 semester credit hours,857,780,77,848,848,76,9,8,1
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Associate's degree,3658,3371,287,3617,3617,278,41,32,9
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Bachelor's degree,1561,1421,140,1437,1437,134,124,118,6
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Master's degree,70,60,10,9,9,2,61,53,8
Lasers,15.0304,Laser and Optical Technology/Technician,All award levels (total),63,51,12,62,62,12,1,1,0
Lasers,15.0304,Laser and Optical Technology/Technician,Postsecondary certificate < 60 semester credit hours,7,5,2,7,7,2,0,0,0
Lasers,15.0304,Laser and Optical Technology/Technician,Associate's degree,56,46,10,55,55,10,1,1,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",All award levels (total),715,682,33,715,715,33,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Postsecondary certificate < 60 semester credit hours,199,194,5,199,199,5,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Postsecondary certificate > 60 semester credit hours,22,22,0,22,22,0,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Associate's degree,487,459,28,487,487,28,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Bachelor's degree,7,7,0,7,7,0,0,0,0
Lasers,40.0502,Analytical Chemistry,All award levels (total),33,12,21,27,27,18,6,3,3
Lasers,40.0502,Analytical Chemistry,Bachelor's degree,3,1,2,3,3,2,0,0,0
Lasers,40.0502,Analytical Chemistry,Master's degree,23,7,16,20,20,13,3,0,3
Lasers,40.0502,Analytical Chemistry,Doctor's degree – research/scholarship,7,4,3,4,4,3,3,3,0
